,_id1,_id2,title_cleaned,references_cleaned,capacity,colors1_for_cap,colors2_for_row,common_colors,num_common_colors
0,['666baeb49793e149fe7393c5'],6892cd74a79a1867093a029f,nubia neo 2,nubia neo 2,256GB,"['Vàng', 'Bạc', 'Đen']","['Đen', 'Bạc', 'Vàng']","['Bạc', 'Vàng', 'Đen']",3
1,['666baeb89793e149fe739496'],6892ce0aa79a1867093a0475,xiaomi 12,xiaomi 12,256GB,[],['Xanh dương'],[],0
2,['666baeb59793e149fe7393f1'],6892cd65a79a1867093a0276,tecno spark go 2024,tecno spark go 2024,64GB,"['Trắng', 'Vàng', 'Đen', 'Xanh Lá']","['Đen', 'Trắng', 'Xanh', 'Vàng']","['Đen', 'Vàng', 'Trắng']",3
3,['666baeb89793e149fe739494'],6892cdeba79a1867093a031a,samsung galaxy a53 5g,samsung galaxy a53 5g,128GB,[],"['Đen', 'Xanh']",[],0
4,"['666baeb79793e149fe73944e', '666baeb79793e149fe73944d']",6892cd90a79a1867093a02c1,samsung galaxy a54 5g,samsung galaxy a54 5g,128GB,[],"['Xanh', 'Tím', 'Đen']",[],0
5,"['666baeb79793e149fe73944e', '666baeb79793e149fe73944d']",6892cd90a79a1867093a02c1,samsung galaxy a54 5g,samsung galaxy a54 5g,256GB,[],"['Xanh', 'Tím', 'Đen']",[],0
6,['666baeb99793e149fe7394e9'],6892ce17a79a1867093a0508,realme 6i,realme 6i,128GB,[],"['Trắng', 'Xanh rêu']",[],0
7,['666baeb99793e149fe7394d6'],6892ce0aa79a1867093a0492,oppo find x2,oppo find x2,256GB,[],"['Xanh', 'Đen']",[],0
8,"['666baeb89793e149fe73947a', '666baeb89793e149fe73947d']",6892ce13a79a1867093a04f4,nokia g11 +,nokia g11 +,32GB,[],['Xám'],[],0
9,['666baeb99793e149fe7394c2'],6892cdf8a79a1867093a03a9,vsmart joy 3,vsmart joy 3,64GB,[],"['Tím', 'Trắng', 'Đen']",[],0
10,['666baeb99793e149fe7394cf'],6892cdcba79a1867093a02fa,samsung galaxy z fold2 5g,samsung galaxy z fold2 5g,256GB,[],"['Đồng', 'Đen']",[],0
